customer_id,bill_date,payment_date,amount,category,days_past_due
CUSR-100031,2025-12-21,2025-12-24,1383,Electricity,3
CUSR-100031,2025-11-21,2025-11-23,2400,Electricity,2
CUSR-100032,2026-01-20,2026-01-29,1982,Electricity,9
CUSR-100032,2025-12-21,2026-01-02,1928,Electricity,12
CUSR-100032,2025-11-21,2025-12-02,2880,Electricity,11
CUSR-100033,2026-01-20,2026-01-24,1873,Electricity,4
CUSR-100033,2025-12-21,2025-12-21,2451,Electricity,0
CUSR-100033,2025-11-21,2025-11-22,1410,Electricity,1
CUSR-100034,2026-01-20,2026-02-01,2671,Electricity,12
CUSR-100034,2025-12-21,2026-01-07,1233,Electricity,17
CUSR-100034,2025-11-21,2025-12-08,2244,Electricity,17
CUSR-100035,2026-01-20,2026-01-23,2543,Electricity,3
CUSR-100035,2025-12-21,2025-12-23,1715,Electricity,2
CUSR-100035,2025-11-21,2025-11-21,2685,Electricity,0
CUSR-100036,2026-01-20,2026-01-23,1927,Electricity,3
CUSR-100036,2025-12-21,2025-12-21,2054,Electricity,0
CUSR-100036,2025-11-21,2025-11-23,1740,Electricity,2
CUSR-100037,2026-01-20,2026-01-24,1122,Electricity,4
CUSR-100037,2025-12-21,2025-12-22,1033,Electricity,1
CUSR-100037,2025-11-21,2025-11-23,1038,Electricity,2
CUSR-100038,2026-01-20,2026-01-22,1936,Electricity,2
CUSR-100038,2025-12-21,2025-12-25,1270,Electricity,4
CUSR-100038,2025-11-21,2025-11-24,1043,Electricity,3
CUSR-100039,2026-01-20,2026-01-23,1126,Electricity,3
CUSR-100039,2025-12-21,2025-12-23,1906,Electricity,2
CUSR-100039,2025-11-21,2025-11-21,2392,Electricity,0
CUSR-100040,2026-01-20,2026-02-08,1209,Electricity,19
CUSR-100040,2025-12-21,2025-12-31,1227,Electricity,10
CUSR-100040,2025-11-21,2025-11-26,800,Electricity,5
CUSR-100041,2026-01-20,2026-01-22,2577,Electricity,2
CUSR-100041,2025-12-21,2025-12-21,2939,Electricity,0
CUSR-100041,2025-11-21,2025-11-24,2761,Electricity,3
CUSR-100042,2026-01-20,2026-01-20,1954,Electricity,0
CUSR-100042,2025-12-21,2025-12-24,922,Electricity,3
CUSR-100042,2025-11-21,2025-11-21,1027,Electricity,0
CUSR-100043,2026-01-20,2026-01-22,2796,Electricity,2
CUSR-100043,2025-12-21,2025-12-25,1881,Electricity,4
CUSR-100043,2025-11-21,2025-11-22,2055,Electricity,1
CUSR-100044,2026-01-20,2026-01-24,831,Electricity,4
CUSR-100044,2025-12-21,2025-12-21,1960,Electricity,0
CUSR-100044,2025-11-21,2025-11-25,2441,Electricity,4
CUSR-100045,2026-01-20,2026-01-22,2921,Electricity,2
CUSR-100045,2025-12-21,2025-12-21,1578,Electricity,0
CUSR-100045,2025-11-21,2025-11-24,2677,Electricity,3
CUSR-100046,2026-01-20,2026-01-24,1721,Electricity,4
CUSR-100046,2025-12-21,2025-12-25,1514,Electricity,4
CUSR-100046,2025-11-21,2025-11-22,2391,Electricity,1
CUSR-100047,2026-01-20,2026-01-20,1804,Electricity,0
CUSR-100047,2025-12-21,2025-12-24,1478,Electricity,3
CUSR-100047,2025-11-21,2025-11-24,2472,Electricity,3
CUSR-100048,2026-01-20,2026-01-21,954,Electricity,1
CUSR-100048,2025-12-21,2025-12-22,2060,Electricity,1
CUSR-100048,2025-11-21,2025-11-24,2579,Electricity,3
CUSR-100049,2026-01-20,2026-01-22,2215,Electricity,2
CUSR-100049,2025-12-21,2025-12-25,2912,Electricity,4
CUSR-100049,2025-11-21,2025-11-22,2752,Electricity,1
CUSR-100050,2026-01-20,2026-01-20,2645,Electricity,0
CUSR-100050,2025-12-21,2025-12-25,2866,Electricity,4
CUSR-100050,2025-11-21,2025-11-23,1585,Electricity,2
CUSR-100051,2026-01-20,2026-02-08,2560,Electricity,19
CUSR-100051,2025-12-21,2026-01-09,1182,Electricity,19
CUSR-100051,2025-11-21,2025-12-07,1539,Electricity,16
CUSR-100052,2026-01-20,2026-01-31,2915,Electricity,11
CUSR-100052,2025-12-21,2026-01-06,1876,Electricity,16
CUSR-100052,2025-11-21,2025-12-04,1742,Electricity,13
CUSR-100053,2026-01-20,2026-01-22,2878,Electricity,2
CUSR-100053,2025-12-21,2025-12-22,2549,Electricity,1
CUSR-100053,2025-11-21,2025-11-22,2992,Electricity,1
CUSR-100054,2026-01-20,2026-01-29,1219,Electricity,9
CUSR-100054,2025-12-21,2026-01-06,2150,Electricity,16
CUSR-100054,2025-11-21,2025-12-09,1361,Electricity,18
CUSR-100055,2026-01-20,2026-01-21,2616,Electricity,1
CUSR-100055,2025-12-21,2025-12-23,803,Electricity,2
CUSR-100055,2025-11-21,2025-11-23,2367,Electricity,2
CUSR-100056,2026-01-20,2026-01-20,1127,Electricity,0
CUSR-100056,2025-12-21,2025-12-22,1416,Electricity,1
CUSR-100056,2025-11-21,2025-11-24,2752,Electricity,3
CUSR-100057,2026-01-20,2026-01-24,888,Electricity,4
CUSR-100057,2025-12-21,2025-12-24,1409,Electricity,3
CUSR-100057,2025-11-21,2025-11-23,1092,Electricity,2
CUSR-100058,2026-01-20,2026-01-24,946,Electricity,4
CUSR-100058,2025-12-21,2025-12-24,2185,Electricity,3
CUSR-100058,2025-11-21,2025-11-23,1103,Electricity,2
CUSR-100059,2026-01-20,2026-01-20,2039,Electricity,0
CUSR-100059,2025-12-21,2025-12-25,2982,Electricity,4
CUSR-100059,2025-11-21,2025-11-23,2719,Electricity,2
CUSR-100060,2026-01-20,2026-01-23,2192,Electricity,3
CUSR-100060,2025-12-21,2025-12-22,2353,Electricity,1
CUSR-100060,2025-11-21,2025-11-21,1158,Electricity,0
CUSR-100061,2026-01-20,2026-01-21,1893,Electricity,1
CUSR-100061,2025-12-21,2025-12-22,2747,Electricity,1
CUSR-100061,2025-11-21,2025-11-21,1578,Electricity,0
CUSR-100062,2026-01-20,2026-01-21,2142,Electricity,1
CUSR-100062,2025-12-21,2025-12-23,2672,Electricity,2
CUSR-100062,2025-11-21,2025-11-21,1863,Electricity,0
CUSR-100063,2026-01-20,2026-01-22,2040,Electricity,2
CUSR-100063,2025-12-21,2025-12-21,1074,Electricity,0
CUSR-100063,2025-11-21,2025-11-22,2108,Electricity,1
CUSR-100064,2026-01-20,2026-01-21,2166,Electricity,1
CUSR-100064,2025-12-21,2025-12-21,2149,Electricity,0
CUSR-100064,2025-11-21,2025-11-22,1692,Electricity,1
CUSR-100065,2026-01-20,2026-01-20,2208,Electricity,0
CUSR-100065,2025-12-21,2025-12-24,2929,Electricity,3
CUSR-100065,2025-11-21,2025-11-22,981,Electricity,1
CUSR-100066,2026-01-20,2026-01-20,1098,Electricity,0
CUSR-100066,2025-12-21,2025-12-22,2133,Electricity,1
CUSR-100066,2025-11-21,2025-11-21,2026,Electricity,0
CUSR-100067,2026-01-20,2026-01-25,1839,Electricity,5
CUSR-100067,2025-12-21,2026-01-01,2148,Electricity,11
CUSR-100067,2025-11-21,2025-12-08,2464,Electricity,17
CUSR-100068,2026-01-20,2026-01-23,1734,Electricity,3
CUSR-100068,2025-12-21,2025-12-23,2731,Electricity,2
CUSR-100068,2025-11-21,2025-11-22,2685,Electricity,1
CUSR-100069,2026-01-20,2026-01-24,2631,Electricity,4
CUSR-100069,2025-12-21,2025-12-24,2633,Electricity,3
CUSR-100069,2025-11-21,2025-11-25,945,Electricity,4
CUSR-100070,2026-01-20,2026-01-24,1822,Electricity,4
CUSR-100070,2025-12-21,2025-12-22,2385,Electricity,1
CUSR-100070,2025-11-21,2025-11-24,1528,Electricity,3
CUSR-100071,2026-01-20,2026-02-03,2510,Electricity,14
CUSR-100071,2025-12-21,2026-01-02,1573,Electricity,12
CUSR-100071,2025-11-21,2025-11-30,1015,Electricity,9
CUSR-100072,2026-01-20,2026-02-02,2937,Electricity,13
CUSR-100072,2025-12-21,2025-12-29,2227,Electricity,8
CUSR-100072,2025-11-21,2025-11-29,2700,Electricity,8
CUSR-100073,2026-01-20,2026-01-22,1210,Electricity,2
CUSR-100073,2025-12-21,2025-12-22,2604,Electricity,1
CUSR-100073,2025-11-21,2025-11-21,2287,Electricity,0
CUSR-100074,2026-01-20,2026-02-04,1642,Electricity,15
CUSR-100074,2025-12-21,2026-01-02,2004,Electricity,12
CUSR-100074,2025-11-21,2025-12-03,1462,Electricity,12
CUSR-100075,2026-01-20,2026-02-02,1883,Electricity,13
CUSR-100075,2025-12-21,2025-12-31,851,Electricity,10
CUSR-100075,2025-11-21,2025-12-07,2884,Electricity,16
CUSR-100076,2026-01-20,2026-01-20,2543,Electricity,0
CUSR-100076,2025-12-21,2025-12-23,2901,Electricity,2
CUSR-100076,2025-11-21,2025-11-21,1419,Electricity,0
CUSR-100077,2026-01-20,2026-01-24,1008,Electricity,4
CUSR-100077,2025-12-21,2025-12-25,1692,Electricity,4
CUSR-100077,2025-11-21,2025-11-21,1438,Electricity,0
CUSR-100078,2026-01-20,2026-01-22,1876,Electricity,2
CUSR-100078,2025-12-21,2025-12-24,2331,Electricity,3
CUSR-100078,2025-11-21,2025-11-21,1856,Electricity,0
CUSR-100079,2026-01-20,2026-01-22,1156,Electricity,2
CUSR-100079,2025-12-21,2025-12-21,1413,Electricity,0
CUSR-100079,2025-11-21,2025-11-24,2320,Electricity,3
CUSR-100080,2026-01-20,2026-01-23,1417,Electricity,3
CUSR-100080,2025-12-21,2025-12-24,2148,Electricity,3
CUSR-100080,2025-11-21,2025-11-24,2254,Electricity,3
CUSR-100081,2026-01-20,2026-01-23,1382,Electricity,3
CUSR-100081,2025-12-21,2025-12-24,855,Electricity,3
CUSR-100081,2025-11-21,2025-11-22,2815,Electricity,1
CUSR-100082,2026-01-20,2026-01-22,1150,Electricity,2
CUSR-100082,2025-12-21,2025-12-24,1285,Electricity,3
CUSR-100082,2025-11-21,2025-11-23,2761,Electricity,2
CUSR-100083,2026-01-20,2026-01-23,1688,Electricity,3
CUSR-100083,2025-12-21,2025-12-25,2805,Electricity,4
CUSR-100083,2025-11-21,2025-11-24,1883,Electricity,3
CUSR-100084,2026-01-20,2026-01-24,2285,Electricity,4
CUSR-100084,2025-12-21,2025-12-24,862,Electricity,3
CUSR-100084,2025-11-21,2025-11-24,1935,Electricity,3
CUSR-100085,2026-01-20,2026-01-24,1631,Electricity,4
CUSR-100085,2025-12-21,2025-12-25,1745,Electricity,4
CUSR-100085,2025-11-21,2025-11-24,2078,Electricity,3
CUSR-100086,2026-01-20,2026-01-22,2430,Electricity,2
CUSR-100086,2025-12-21,2025-12-25,2895,Electricity,4
CUSR-100086,2025-11-21,2025-11-21,1059,Electricity,0
CUSR-100087,2026-01-20,2026-01-20,1809,Electricity,0
CUSR-100087,2025-12-21,2025-12-25,1647,Electricity,4
CUSR-100087,2025-11-21,2025-11-23,1322,Electricity,2
CUSR-100088,2026-01-20,2026-01-23,2561,Electricity,3
CUSR-100088,2025-12-21,2025-12-21,2196,Electricity,0
CUSR-100088,2025-11-21,2025-11-24,1635,Electricity,3
CUSR-100089,2026-01-20,2026-01-21,1086,Electricity,1
CUSR-100089,2025-12-21,2025-12-21,2051,Electricity,0
CUSR-100089,2025-11-21,2025-11-25,1624,Electricity,4
CUSR-100090,2026-01-20,2026-01-22,1858,Electricity,2
CUSR-100090,2025-12-21,2025-12-22,1283,Electricity,1
CUSR-100090,2025-11-21,2025-11-25,2777,Electricity,4
CUSR-100091,2026-01-20,2026-01-22,2595,Electricity,2
CUSR-100091,2025-12-21,2025-12-24,2690,Electricity,3
CUSR-100091,2025-11-21,2025-11-22,1471,Electricity,1
CUSR-100092,2026-01-20,2026-01-20,920,Electricity,0
CUSR-100092,2025-12-21,2025-12-24,2955,Electricity,3
CUSR-100092,2025-11-21,2025-11-24,1503,Electricity,3
CUSR-100093,2026-01-20,2026-01-21,2693,Electricity,1
CUSR-100093,2025-12-21,2025-12-23,1185,Electricity,2
CUSR-100093,2025-11-21,2025-11-24,2614,Electricity,3
CUSR-100094,2026-01-20,2026-01-23,2521,Electricity,3
CUSR-100094,2025-12-21,2025-12-25,1441,Electricity,4
CUSR-100094,2025-11-21,2025-11-21,1348,Electricity,0
CUSR-100095,2026-01-20,2026-01-21,1658,Electricity,1
CUSR-100095,2025-12-21,2025-12-23,888,Electricity,2
CUSR-100095,2025-11-21,2025-11-22,1632,Electricity,1
CUSR-100096,2026-01-20,2026-01-21,2542,Electricity,1
CUSR-100096,2025-12-21,2025-12-21,929,Electricity,0
CUSR-100096,2025-11-21,2025-11-24,1528,Electricity,3
CUSR-100097,2026-01-20,2026-01-23,2000,Electricity,3
CUSR-100097,2025-12-21,2025-12-25,1888,Electricity,4
CUSR-100097,2025-11-21,2025-11-25,1099,Electricity,4
CUSR-100098,2026-01-20,2026-01-22,2377,Electricity,2
CUSR-100098,2025-12-21,2025-12-23,1725,Electricity,2
CUSR-100098,2025-11-21,2025-11-25,1190,Electricity,4
CUSR-100099,2026-01-20,2026-01-21,1222,Electricity,1
CUSR-100099,2025-12-21,2025-12-22,2756,Electricity,1
CUSR-100099,2025-11-21,2025-11-21,1746,Electricity,0
CUSR-100100,2026-01-20,2026-01-23,2519,Electricity,3
CUSR-100100,2025-12-21,2025-12-22,1203,Electricity,1
CUSR-100100,2025-11-21,2025-11-24,2825,Electricity,3
CUSR-100101,2026-01-20,2026-01-21,2557,Electricity,1
CUSR-100101,2025-12-21,2025-12-24,2622,Electricity,3
CUSR-100101,2025-11-21,2025-11-23,833,Electricity,2
CUSR-100102,2026-01-20,2026-02-04,2844,Electricity,15
CUSR-100102,2025-12-21,2025-12-29,2144,Electricity,8
CUSR-100102,2025-11-21,2025-11-28,2826,Electricity,7
CUSR-100103,2026-01-20,2026-01-20,2066,Electricity,0
CUSR-100103,2025-12-21,2025-12-22,2874,Electricity,1
CUSR-100103,2025-11-21,2025-11-23,1614,Electricity,2
CUSR-100104,2026-01-20,2026-01-21,2286,Electricity,1
CUSR-100104,2025-12-21,2025-12-23,1739,Electricity,2
CUSR-100104,2025-11-21,2025-11-21,2255,Electricity,0
CUSR-100105,2026-01-20,2026-01-24,2639,Electricity,4
CUSR-100105,2025-12-21,2025-12-25,2624,Electricity,4
CUSR-100105,2025-11-21,2025-11-21,2481,Electricity,0
CUSR-100106,2026-01-20,2026-01-23,2935,Electricity,3
CUSR-100106,2025-12-21,2025-12-21,1946,Electricity,0
CUSR-100106,2025-11-21,2025-11-22,1459,Electricity,1
CUSR-100107,2026-01-20,2026-01-25,2580,Electricity,5
CUSR-100107,2025-12-21,2026-01-05,1414,Electricity,15
CUSR-100107,2025-11-21,2025-12-10,2378,Electricity,19
CUSR-100108,2026-01-20,2026-01-22,1699,Electricity,2
CUSR-100108,2025-12-21,2025-12-21,1046,Electricity,0
CUSR-100108,2025-11-21,2025-11-25,2411,Electricity,4
CUSR-100109,2026-01-20,2026-01-24,1488,Electricity,4
CUSR-100109,2025-12-21,2025-12-21,2257,Electricity,0
CUSR-100109,2025-11-21,2025-11-22,1370,Electricity,1
CUSR-100110,2026-01-20,2026-01-23,1047,Electricity,3
CUSR-100110,2025-12-21,2025-12-21,1734,Electricity,0
CUSR-100110,2025-11-21,2025-11-23,2191,Electricity,2
CUSR-100111,2026-01-20,2026-01-31,2093,Electricity,11
CUSR-100111,2025-12-21,2025-12-30,1946,Electricity,9
CUSR-100111,2025-11-21,2025-11-27,1420,Electricity,6
CUSR-100112,2026-01-20,2026-02-05,2233,Electricity,16
CUSR-100112,2025-12-21,2026-01-09,1797,Electricity,19
CUSR-100112,2025-11-21,2025-12-08,2791,Electricity,17
CUSR-100113,2026-01-20,2026-02-08,1407,Electricity,19
CUSR-100113,2025-12-21,2026-01-05,980,Electricity,15
CUSR-100113,2025-11-21,2025-12-03,1417,Electricity,12
CUSR-100114,2026-01-20,2026-01-22,2926,Electricity,2
CUSR-100114,2025-12-21,2025-12-22,2607,Electricity,1
CUSR-100114,2025-11-21,2025-11-23,1456,Electricity,2
CUSR-100115,2026-01-20,2026-01-23,1067,Electricity,3
CUSR-100115,2025-12-21,2025-12-23,930,Electricity,2
CUSR-100115,2025-11-21,2025-11-23,996,Electricity,2
CUSR-100116,2026-01-20,2026-01-20,2750,Electricity,0
CUSR-100116,2025-12-21,2025-12-25,2705,Electricity,4
CUSR-100116,2025-11-21,2025-11-21,2954,Electricity,0
CUSR-100117,2026-01-20,2026-01-28,2612,Electricity,8
CUSR-100117,2025-12-21,2026-01-01,2588,Electricity,11
CUSR-100117,2025-11-21,2025-12-09,2139,Electricity,18
CUSR-100118,2026-01-20,2026-01-24,1787,Electricity,4
CUSR-100118,2025-12-21,2025-12-22,2772,Electricity,1
CUSR-100118,2025-11-21,2025-11-22,2514,Electricity,1
CUSR-100119,2026-01-20,2026-01-20,2578,Electricity,0
CUSR-100119,2025-12-21,2025-12-22,1207,Electricity,1
CUSR-100119,2025-11-21,2025-11-25,1678,Electricity,4
CUSR-100120,2026-01-20,2026-01-24,1702,Electricity,4
CUSR-100120,2025-12-21,2025-12-24,902,Electricity,3
CUSR-100120,2025-11-21,2025-11-23,1080,Electricity,2
CUSR-100121,2026-01-20,2026-01-21,2190,Electricity,1
CUSR-100121,2025-12-21,2025-12-24,2766,Electricity,3
CUSR-100121,2025-11-21,2025-11-25,1303,Electricity,4
CUSR-100122,2026-01-20,2026-01-23,1811,Electricity,3
CUSR-100122,2025-12-21,2025-12-21,1081,Electricity,0
CUSR-100122,2025-11-21,2025-11-22,2695,Electricity,1
CUSR-100123,2026-01-20,2026-01-20,2296,Electricity,0
CUSR-100123,2025-12-21,2025-12-23,1258,Electricity,2
CUSR-100123,2025-11-21,2025-11-25,2240,Electricity,4
CUSR-100124,2026-01-20,2026-01-20,2400,Electricity,0
CUSR-100124,2025-12-21,2025-12-25,1874,Electricity,4
CUSR-100124,2025-11-21,2025-11-25,1125,Electricity,4
CUSR-100125,2026-01-20,2026-01-22,2141,Electricity,2
CUSR-100125,2025-12-21,2025-12-21,2551,Electricity,0
CUSR-100125,2025-11-21,2025-11-24,2814,Electricity,3
CUSR-100126,2026-01-20,2026-01-21,2571,Electricity,1
CUSR-100126,2025-12-21,2025-12-22,1343,Electricity,1
CUSR-100126,2025-11-21,2025-11-24,1317,Electricity,3
CUSR-100127,2026-01-20,2026-01-27,1643,Electricity,7
CUSR-100127,2025-12-21,2025-12-26,2799,Electricity,5
CUSR-100127,2025-11-21,2025-12-10,2613,Electricity,19
CUSR-100128,2026-01-20,2026-01-24,1169,Electricity,4
CUSR-100128,2025-12-21,2025-12-22,1136,Electricity,1
CUSR-100128,2025-11-21,2025-11-24,2442,Electricity,3
CUSR-100129,2026-01-20,2026-01-21,2023,Electricity,1
CUSR-100129,2025-12-21,2025-12-22,1729,Electricity,1
CUSR-100129,2025-11-21,2025-11-22,1716,Electricity,1
CUSR-100130,2026-01-20,2026-01-21,1438,Electricity,1
CUSR-100130,2025-12-21,2025-12-23,1839,Electricity,2
CUSR-100130,2025-11-21,2025-11-25,2013,Electricity,4
CUSR-100131,2026-01-20,2026-01-23,2702,Electricity,3
CUSR-100131,2025-12-21,2025-12-25,808,Electricity,4
CUSR-100131,2025-11-21,2025-11-22,2855,Electricity,1
CUSR-100132,2026-01-20,2026-01-23,1570,Electricity,3
CUSR-100132,2025-12-21,2025-12-22,1689,Electricity,1
CUSR-100132,2025-11-21,2025-11-22,2428,Electricity,1
CUSR-100133,2026-01-20,2026-01-20,2614,Electricity,0
CUSR-100133,2025-12-21,2025-12-23,1241,Electricity,2
CUSR-100133,2025-11-21,2025-11-23,2141,Electricity,2
CUSR-100134,2026-01-20,2026-01-24,1664,Electricity,4
CUSR-100134,2025-12-21,2025-12-25,1265,Electricity,4
CUSR-100134,2025-11-21,2025-11-21,2514,Electricity,0
CUSR-100135,2026-01-20,2026-01-24,1311,Electricity,4
CUSR-100135,2025-12-21,2025-12-24,2233,Electricity,3
CUSR-100135,2025-11-21,2025-11-23,2277,Electricity,2
CUSR-100136,2026-01-20,2026-02-03,1461,Electricity,14
CUSR-100136,2025-12-21,2026-01-04,2612,Electricity,14
CUSR-100136,2025-11-21,2025-12-05,1844,Electricity,14
CUSR-100137,2026-01-20,2026-01-24,2152,Electricity,4
CUSR-100137,2025-12-21,2025-12-25,1994,Electricity,4
CUSR-100137,2025-11-21,2025-11-22,1652,Electricity,1
CUSR-100138,2026-01-20,2026-01-21,2641,Electricity,1
CUSR-100138,2025-12-21,2025-12-25,1360,Electricity,4
CUSR-100138,2025-11-21,2025-11-24,2274,Electricity,3
CUSR-100139,2026-01-20,2026-02-06,1010,Electricity,17
CUSR-100139,2025-12-21,2026-01-06,1737,Electricity,16
CUSR-100139,2025-11-21,2025-11-29,2053,Electricity,8
CUSR-100140,2026-01-20,2026-01-21,2247,Electricity,1
CUSR-100140,2025-12-21,2025-12-25,2670,Electricity,4
CUSR-100140,2025-11-21,2025-11-21,2654,Electricity,0
CUSR-100141,2026-01-20,2026-01-21,1445,Electricity,1
CUSR-100141,2025-12-21,2025-12-22,2057,Electricity,1
CUSR-100141,2025-11-21,2025-11-24,1694,Electricity,3
CUSR-100142,2026-01-20,2026-01-27,2502,Electricity,7
CUSR-100142,2025-12-21,2026-01-09,1532,Electricity,19
CUSR-100142,2025-11-21,2025-11-27,948,Electricity,6
CUSR-100143,2026-01-20,2026-01-24,2073,Electricity,4
CUSR-100143,2025-12-21,2025-12-22,2945,Electricity,1
CUSR-100143,2025-11-21,2025-11-25,1990,Electricity,4
CUSR-100144,2026-01-20,2026-01-20,2724,Electricity,0
CUSR-100144,2025-12-21,2025-12-23,918,Electricity,2
CUSR-100144,2025-11-21,2025-11-23,1683,Electricity,2
CUSR-100145,2026-01-20,2026-01-24,1314,Electricity,4
CUSR-100145,2025-12-21,2025-12-25,913,Electricity,4
